(30, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(33, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(221, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(291, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(510, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(533, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(588, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(633, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(659, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(720, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(850, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(891, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(900, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(901, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(942, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(970, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(1116, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(1287, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(1381, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(1441, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(1542, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(1586, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(1763, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(1764, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(1831, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(1918, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2026, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(2030, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(2065, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(2210, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(2238, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2267, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(2284, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(2385, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2455, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2491, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2517, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(2527, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2679, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(2734, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(2757, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2765, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(2804, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2817, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2824, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(2891, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(2951, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(3047, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(3103, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(3315, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(3443, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(3619, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(3640, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(3671, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(3721, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(3729, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(3753, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(3795, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(3874, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(3909, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(3962, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(3982, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(3984, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(3990, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(4079, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(4091, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4169, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4299, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(4317, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(4393, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4479, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(4505, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(4531, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(4592, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(4633, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(4676, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(4716, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4751, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4808, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(4830, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(4861, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(4894, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(5032, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(5208, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(5237, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(5247, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5273, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(5556, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
